ibge_code,nome_norm,pib_per_capita,idh,saneamento
3523800,itobi,25230.99,0.646,92.75
3523909,itu,59502.19,0.692,92.94
3524006,itupeva,130938.58,0.699,75.27
3524105,ituverava,45131.05,0.694,80.41
3524204,jaborandi,22013.21,0.627,100.0
3524303,jaboticabal,46151.86,0.71,97.0
3524402,jacarei,67874.93,0.749,67.78
3524501,jaci,92434.87,0.659,0.0
3524600,jacupiranga,29651.56,0.644,94.1
3524709,jaguariuna,233328.91,0.715,84.16
3524808,jales,40212.72,0.73,100.0
3524907,jambeiro,51684.83,0.69,60.21
3525003,jandira,38426.42,0.706,28.18
3525102,jardinopolis,34708.42,0.64,0.0
3525201,jarinu,96153.71,0.659,52.42
3525300,jau,36376.16,0.693,96.5
3525409,jeriquara,53750.36,0.628,100.0
3525508,joanopolis,19442.33,0.585,69.76
3525607,joao ramalho,32483.14,0.71,80.0
3525706,jose bonifacio,36644.42,0.717,84.03
3525805,julio mesquita,12197.96,0.686,9.46
3525854,jumirim,61724.71,0.655,53.66
3525904,jundiai,135081.2,0.768,100.0
3526001,junqueiropolis,38510.78,0.662,53.41
3526100,juquia,19673.56,0.637,80.43
3526209,juquitiba,18025.29,0.662,34.89
3526308,lagoinha,15150.97,0.609,100.0
3526407,laranjal paulista,48579.92,0.639,100.0
3526506,lavinia,14696.45,0.655,44.88
3526605,lavrinhas,18111.28,0.707,66.93
3526704,leme,38964.09,0.665,100.0
3526803,lencois paulista,70818.58,0.717,96.14
3526902,limeira,51678.31,0.719,92.5
3527009,lindoia,30018.14,0.654,0.0
3527108,lins,85642.71,0.733,90.41
3527207,lorena,43299.19,0.713,92.03
3527256,lourdes,18818.34,0.717,100.0
3527306,louveira,385773.53,0.697,65.86
3527405,lucelia,26531.25,0.695,100.0
3527504,lucianopolis,29214.5,0.662,90.84
3527603,luis antonio,,,83.22
3527702,luiziania,15851.42,0.623,100.0
3527801,lupercio,21340.47,0.674,100.0
3527900,lutecia,38571.53,0.659,100.0
3528007,macatuba,37292.64,0.697,78.9
3528106,macaubal,24094.91,0.676,0.0
3528205,macedonia,24669.23,0.675,99.99
3528304,magda,33742.07,0.717,99.99
3528403,mairinque,56474.15,0.684,0.0
3528502,mairipora,22076.24,0.723,24.12
3528601,manduri,29272.78,0.675,67.59
3528700,maraba paulista,25999.5,0.591,100.0
3528809,maracai,36775.73,0.758,100.0
3528858,marapoama,38648.5,0.679,0.0
3528908,mariapolis,18663.17,0.651,99.99
3529005,marilia,40272.45,0.776,58.33
3529104,marinopolis,19070.41,0.694,99.46
3529203,martinopolis,28179.26,0.641,80.0
3529302,matao,63716.37,0.713,100.0
3529401,maua,43128.78,0.733,0.0
3529500,mendonca,66474.78,0.663,81.82
3529609,meridiano,103289.4,0.667,100.0
3529658,mesopolis,42887.61,0.666,100.0
3529708,miguelopolis,45201.82,0.661,99.89
3529807,mineiros do tiete,17373.68,0.658,95.0
3529906,miracatu,23420.28,0.653,88.66
3530003,mira estrela,22515.72,0.731,100.0
3530102,mirandopolis,24753.46,0.665,61.42
3530201,mirante do paranapanema,32957.78,0.674,92.6
3530300,mirassol,43778.54,0.698,100.0
3530409,mirassolandia,42951.06,0.69,92.9
3530508,mococa,44065.5,0.709,91.08
3530607,mogi das cruzes,43031.34,0.74,47.26
3530706,mogi guacu,44538.21,0.736,57.99
3530805,moji mirim,,,
3530904,mombuca,35344.16,0.607,84.2
3531001,moncoes,25620.96,0.773,100.0
3531100,mongagua,21421.71,0.699,89.51
3531209,monte alegre do sul,30829.71,0.678,0.0
3531308,monte alto,47713.32,0.707,100.0
3531407,monte aprazivel,29885.78,0.72,95.65
3531506,monte azul paulista,33768.09,0.69,29.75
3531605,monte castelo,30746.0,0.709,79.67
3531704,monteiro lobato,17520.67,0.627,88.18
3531803,monte mor,69972.02,0.639,80.12
3531902,morro agudo,36487.83,0.604,96.37
3532009,morungaba,45445.18,0.627,100.0
3532058,motuca,24983.62,0.691,51.89
3532108,murutinga do sul,19453.5,0.643,65.0
3532157,nantes,44261.55,0.702,98.57
3532207,narandiba,129106.16,0.67,100.0
3532306,natividade da serra,14098.9,0.52,71.43
3532405,nazare paulista,24667.18,0.559,22.76
3532504,neves paulista,30979.89,0.707,100.0
3532603,nhandeara,31773.36,0.672,97.27
3532702,nipoa,17820.45,0.636,97.89
3532801,nova alianca,45514.97,0.684,66.57
3532827,nova campina,22192.26,0.577,100.0
3532843,nova canaa paulista,25386.3,0.623,100.0
3532868,nova castilho,47027.11,0.755,
3532900,nova europa,32768.54,0.718,97.12
3533007,nova granada,23447.89,0.68,100.0
3533106,nova guataporanga,15762.88,0.644,100.0
3533205,nova independencia,51548.89,0.711,91.32
3533254,novais,12986.7,0.634,84.44
3533304,nova luzitania,14278.82,0.719,96.94
3533403,nova odessa,65145.09,0.762,100.0
3533502,novo horizonte,37973.31,0.665,91.74
3533601,nuporanga,115407.02,0.656,79.95
3533700,ocaucu,32921.81,0.653,87.48
3533809,oleo,52419.92,0.637,96.76
3533908,olimpia,45985.63,0.736,86.5
3534005,onda verde,46086.02,0.671,90.91
3534104,oriente,19753.85,0.761,100.0
3534203,orindiuva,87570.54,0.762,88.79
3534302,orlandia,57728.08,0.703,0.0
3534401,osasco,122765.64,0.718,36.99
3534500,oscar bressane,43366.02,0.715,99.99
3534609,osvaldo cruz,32836.81,0.713,100.0
3534708,ourinhos,34406.86,0.727,65.83
3534757,ouroeste,51226.69,0.736,100.0
3534807,ouro verde,15558.53,0.612,78.75
3534906,pacaembu,15195.79,0.631,62.94
3535002,palestina,31646.21,0.645,98.22
3535101,palmares paulista,9964.11,0.645,100.0
3535200,palmeira d oeste,23443.85,0.714,98.79
3535309,palmital,40347.04,0.702,73.08
3535408,panorama,19933.87,0.636,54.53
3535507,paraguacu paulista,39015.76,0.739,100.0
3535606,paraibuna,19220.43,0.642,7.71
3535705,paraiso,42122.5,0.668,0.0
3535804,paranapanema,45907.58,0.631,84.88
3535903,paranapua,32360.15,0.655,100.0
3536000,parapua,67842.13,0.696,100.0
3536109,pardinho,55976.73,0.652,91.99
3536208,pariquera acu,29601.64,0.678,94.43
3536257,parisi,24630.17,0.619,80.0
3536307,patrocinio paulista,91078.82,0.678,91.57
3536406,pauliceia,26544.4,0.64,33.33
3536505,paulinia,457517.7,0.727,82.12
3536570,paulistania,26505.01,0.663,100.0
3536604,paulo de faria,30054.05,0.662,84.84
